application_id,age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,home_ownership,purpose,application_status
APP100000,25,754030,1545379,48,558,16,Own,Medical,Approved
APP100001,58,294857,1295809,60,320,35,Mortgage,Business,Rejected
APP100002,53,1956468,374940,360,686,4,Own,Business,Approved
APP100003,42,2112441,1880364,84,467,23,Own,Education,Rejected
APP100004,42,2363322,135523,120,511,13,Mortgage,Personal,Rejected
APP100005,63,2861389,1324770,180,386,1,Rent,Business,Rejected
APP100006,25,1592611,907195,48,501,24,Mortgage,Auto,Approved
APP100007,55,2521621,1324928,360,518,28,Rent,Business,Approved
APP100008,30,2205615,1559346,120,423,38,Rent,Home,Pending
APP100009,25,976154,1390040,240,839,20,Mortgage,Auto,Approved
APP100010,46,2566337,1319020,180,454,13,Own,Auto,Approved
APP100011,68,349310,1689726,120,399,34,Own,Personal,Approved
APP100012,57,1876892,1418669,12,602,9,Rent,Personal,Approved
APP100013,58,2832983,1636797,84,475,27,Own,Home,Approved
APP100014,56,2045097,835536,24,550,37,Mortgage,Medical,Approved
APP100015,59,2823775,445505,120,699,0,Rent,Personal,Rejected
APP100016,46,357243,508143,180,343,37,Rent,Education,Rejected
APP100017,27,1690762,1243609,84,580,8,Rent,Auto,Pending
APP100018,62,2385714,1086968,48,311,19,Own,Education,Pending
APP100019,43,1998488,200447,12,324,10,Mortgage,Business,Approved
APP100020,45,2665502,448513,120,350,5,Rent,Business,Approved
APP100021,39,1495280,1936725,120,389,28,Mortgage,Education,Pending
APP100022,29,2111288,1466145,60,492,19,Mortgage,Home,Approved
APP100023,66,1375343,1522207,180,815,20,Own,Business,Approved
APP100024,59,2641935,434084,180,799,19,Mortgage,Personal,Approved
APP100025,52,534455,175232,84,356,29,Mortgage,Auto,Rejected
APP100026,40,911535,617963,12,846,38,Mortgage,Business,Approved
APP100027,61,470908,1720912,240,649,20,Own,Business,Approved
APP100028,47,2165881,1037762,60,605,6,Rent,Business,Approved
APP100029,42,851650,1580018,120,736,13,Mortgage,Home,Rejected
APP100030,43,1087985,999084,360,566,19,Own,Auto,Approved
APP100031,32,2542594,1005862,48,446,4,Rent,Education,Rejected
APP100032,25,1208511,1221656,120,591,9,Mortgage,Medical,Approved
APP100033,48,608330,1919910,12,699,8,Own,Personal,Approved
APP100034,64,258717,903016,240,676,38,Mortgage,Medical,Approved
APP100035,24,834756,1211733,12,393,16,Mortgage,Education,Approved
APP100036,63,2761118,1842972,84,816,35,Rent,Auto,Approved
APP100037,61,1736119,775998,48,456,22,Mortgage,Education,Pending
APP100038,34,2985531,1687871,12,751,20,Mortgage,Personal,Approved
APP100039,51,802367,1093353,60,471,37,Mortgage,Business,Pending
APP100040,29,1184141,1764271,360,334,27,Rent,Business,Approved
APP100041,58,656978,962235,24,849,9,Mortgage,Education,Approved
APP100042,55,1315462,1277557,36,624,11,Mortgage,Personal,Rejected
APP100043,38,1777285,680402,24,418,26,Mortgage,Medical,Rejected
APP100044,24,2462761,1288265,24,300,0,Own,Personal,Approved
APP100045,68,1230661,686182,36,371,6,Mortgage,Education,Approved
APP100046,42,2360287,1237937,84,393,2,Own,Medical,Rejected
APP100047,64,1953245,1588098,180,810,28,Rent,Medical,Approved
APP100048,54,1017074,898024,120,397,17,Mortgage,Personal,Rejected
APP100049,59,2754174,887006,180,389,0,Own,Medical,Rejected
APP100050,58,1415886,678106,180,761,29,Rent,Auto,Approved
APP100051,30,622780,1474410,48,784,26,Own,Education,Rejected
APP100052,38,2895557,1204405,360,415,28,Rent,Auto,Approved
APP100053,43,2757614,1057062,24,658,6,Own,Education,Pending
APP100054,45,338715,99787,120,594,34,Own,Personal,Pending
APP100055,23,2726971,264697,24,617,7,Mortgage,Personal,Rejected
APP100056,47,2852657,64540,180,471,22,Mortgage,Home,Pending
APP100057,28,2521445,1707984,12,713,22,Own,Personal,Rejected
APP100058,57,913990,1710701,36,785,8,Mortgage,Auto,Approved
APP100059,54,1967600,182457,48,700,15,Rent,Auto,Approved
APP100060,66,1707074,140526,120,797,2,Mortgage,Business,Approved
APP100061,57,1936410,1573796,12,360,18,Rent,Auto,Approved
APP100062,38,1926042,1073350,36,662,27,Mortgage,Medical,Rejected
APP100063,68,1989795,652406,48,850,12,Mortgage,Home,Approved
APP100064,41,1639202,1249226,180,595,21,Rent,Home,Rejected
APP100065,36,2133387,511111,360,818,38,Rent,Personal,Approved
APP100066,65,1674498,436433,120,491,9,Mortgage,Auto,Approved
APP100067,39,246150,766581,84,794,11,Mortgage,Personal,Approved
APP100068,24,298789,1796675,48,817,4,Mortgage,Personal,Pending
APP100069,44,2882659,1545945,240,642,21,Rent,Auto,Approved
APP100070,59,2745901,420686,24,688,8,Own,Business,Approved
APP100071,30,1839690,1145356,24,588,34,Own,Business,Approved
APP100072,43,688850,1774804,36,474,11,Mortgage,Home,Pending
APP100073,27,2388104,1905654,36,595,26,Mortgage,Personal,Approved
APP100074,54,601213,1537831,60,830,7,Mortgage,Medical,Rejected
APP100075,44,1256389,301278,360,308,12,Own,Medical,Approved
APP100076,37,1123607,519448,120,413,6,Rent,Home,Approved
APP100077,32,234712,476286,48,575,22,Mortgage,Auto,Rejected
APP100078,48,2459628,343951,36,487,1,Rent,Personal,Rejected
APP100079,53,1627257,391886,120,643,3,Rent,Auto,Rejected
APP100080,67,1085507,666653,36,498,20,Rent,Business,Approved
APP100081,42,1620132,1133245,360,662,21,Own,Education,Pending
APP100082,28,200002,826003,60,358,13,Rent,Auto,Rejected
APP100083,61,1423570,870591,84,483,17,Own,Business,Pending
APP100084,51,1654826,529280,360,681,16,Rent,Auto,Approved
APP100085,55,1151207,344523,48,559,30,Mortgage,Home,Approved
APP100086,25,2525065,1997838,60,693,17,Own,Business,Approved
APP100087,36,899513,1218043,84,650,33,Rent,Auto,Rejected
APP100088,58,585909,497822,36,481,8,Mortgage,Auto,Rejected
APP100089,61,1677125,1629478,12,535,7,Own,Personal,Approved
APP100090,42,2684374,1669737,36,831,16,Rent,Business,Approved
APP100091,60,1250778,1935220,24,830,3,Own,Business,Approved
APP100092,62,330550,360279,120,319,26,Mortgage,Home,Approved
APP100093,39,2915809,1297940,12,688,15,Mortgage,Home,Rejected
APP100094,65,1444033,1961477,48,570,14,Own,Education,Approved
APP100095,35,684196,1623006,240,300,21,Mortgage,Education,Approved
APP100096,32,1923721,489770,84,649,3,Rent,Education,Approved
APP100097,54,1095063,1791414,120,312,15,Mortgage,Home,Approved
APP100098,52,2825816,872292,120,475,38,Mortgage,Medical,Pending
APP100099,27,1023089,1003392,36,680,25,Own,Education,Approved
APP100100,61,1740379,1139199,120,747,22,Own,Personal,Pending
APP100101,30,1721265,1554215,36,527,20,Own,Education,Rejected
APP100102,60,878835,284557,120,745,18,Rent,Education,Rejected
APP100103,21,1597984,1101543,120,762,37,Mortgage,Home,Approved
APP100104,60,505401,1642799,240,546,37,Mortgage,Personal,Rejected
APP100105,59,2002473,1119581,360,395,16,Mortgage,Home,Rejected
APP100106,59,2323290,585636,12,663,36,Rent,Personal,Approved
APP100107,53,2860004,159754,36,307,3,Mortgage,Medical,Pending
APP100108,44,1112185,1121076,84,792,12,Own,Education,Approved
APP100109,55,998619,1421534,48,513,12,Mortgage,Medical,Approved
APP100110,34,1736665,1121785,120,718,27,Mortgage,Personal,Approved
APP100111,59,2139760,1959739,240,705,24,Mortgage,Home,Rejected
APP100112,48,2978900,1225149,36,560,18,Mortgage,Auto,Approved
APP100113,43,270112,1041045,240,835,10,Rent,Business,Approved
APP100114,45,867255,158197,240,738,20,Rent,Personal,Approved
APP100115,48,934687,1139264,360,786,10,Rent,Home,Approved
APP100116,22,915069,378806,12,351,19,Own,Personal,Approved
APP100117,27,1498415,1463236,36,566,13,Mortgage,Personal,Pending
APP100118,33,2644148,364324,24,824,35,Mortgage,Home,Approved
APP100119,26,286785,1818057,24,747,29,Own,Medical,Pending
APP100120,42,2484356,638999,12,550,7,Mortgage,Business,Rejected
APP100121,53,1929474,896268,60,338,37,Rent,Business,Rejected
APP100122,53,1922559,332582,12,455,26,Own,Home,Pending
APP100123,44,2099269,460864,36,615,14,Own,Business,Approved
APP100124,62,523143,1847746,360,653,21,Rent,Education,Rejected
APP100125,48,2290848,603190,240,809,7,Own,Education,Approved
APP100126,24,894768,1050261,360,351,1,Mortgage,Personal,Approved
APP100127,58,1646408,1963728,12,518,16,Mortgage,Auto,Approved
APP100128,49,2095258,1265971,120,449,31,Mortgage,Home,Rejected
APP100129,52,1891045,131199,120,829,14,Mortgage,Education,Rejected
APP100130,48,1104749,747101,24,391,15,Own,Personal,Approved
APP100131,48,1308982,804364,360,421,39,Rent,Home,Rejected
APP100132,25,1534231,588679,60,464,39,Mortgage,Medical,Approved
APP100133,48,315508,520300,360,358,18,Own,Personal,Approved
APP100134,59,2232918,1031195,24,654,1,Own,Medical,Approved
APP100135,35,479865,785230,120,589,27,Rent,Education,Rejected
APP100136,50,1484034,623929,24,607,28,Mortgage,Home,Approved
APP100137,22,2033988,855315,360,799,36,Mortgage,Auto,Approved
APP100138,38,425096,720109,120,538,37,Mortgage,Business,Approved
APP100139,42,2987554,496041,12,471,25,Rent,Business,Rejected
APP100140,69,1256226,932864,36,506,4,Mortgage,Personal,Rejected
APP100141,31,244249,1887487,48,740,9,Own,Personal,Approved
APP100142,34,2044174,1036180,12,591,28,Rent,Personal,Rejected
APP100143,41,1761233,1215235,12,393,24,Own,Business,Rejected
APP100144,69,1992929,1969412,360,680,17,Own,Home,Approved
APP100145,62,2302824,1246541,360,710,16,Own,Business,Approved
APP100146,22,1531774,485479,84,437,28,Rent,Personal,Pending
APP100147,32,2514969,827023,360,606,16,Own,Medical,Approved
APP100148,61,1236419,1001553,120,610,6,Mortgage,Medical,Approved
APP100149,23,1726573,975826,12,396,39,Mortgage,Home,Pending
APP100150,62,643843,341547,180,305,13,Mortgage,Education,Rejected
APP100151,34,1935764,256380,12,695,11,Own,Business,Rejected
APP100152,65,932471,732498,240,639,2,Mortgage,Auto,Rejected
APP100153,35,2150829,1832810,48,693,18,Rent,Education,Approved
APP100154,42,2442952,1448755,24,507,39,Mortgage,Home,Rejected
APP100155,53,2605105,1691350,36,584,6,Own,Auto,Approved
APP100156,27,2801429,390201,120,840,9,Own,Home,Pending
APP100157,48,542410,857833,240,424,7,Own,Medical,Approved
APP100158,45,586376,1183635,84,659,3,Mortgage,Medical,Approved
APP100159,59,2793310,896916,24,372,24,Rent,Education,Approved
APP100160,69,1266317,862566,360,336,11,Own,Home,Rejected
APP100161,53,272848,751593,180,827,30,Mortgage,Education,Approved
APP100162,41,1003571,150580,60,371,16,Own,Education,Rejected
APP100163,40,2541359,1721583,84,661,25,Rent,Auto,Approved
APP100164,41,1193971,1869496,360,583,3,Own,Business,Approved
APP100165,60,414873,207651,48,745,13,Mortgage,Medical,Rejected
APP100166,36,2221905,856526,12,601,16,Mortgage,Medical,Approved
APP100167,29,744958,1059775,24,684,2,Rent,Medical,Rejected
APP100168,37,1187845,1578656,120,792,16,Own,Personal,Pending
APP100169,22,210903,1974156,360,757,18,Mortgage,Home,Rejected
APP100170,26,1885592,861811,180,697,16,Rent,Business,Approved
APP100171,25,1446718,1510400,120,389,20,Rent,Business,Approved
APP100172,58,2627738,1877852,48,393,31,Rent,Home,Pending
APP100173,56,1136205,1669080,60,573,30,Own,Home,Rejected
APP100174,55,772894,616417,12,663,0,Own,Business,Rejected
APP100175,43,664780,1644106,48,667,25,Rent,Personal,Approved
APP100176,56,760444,853849,120,733,36,Rent,Auto,Rejected
APP100177,28,1463052,84166,360,356,34,Own,Education,Approved
APP100178,65,444066,1529785,360,395,12,Mortgage,Home,Rejected
APP100179,45,1326638,1679033,240,382,31,Rent,Home,Pending
APP100180,66,2593108,720151,12,598,32,Own,Business,Pending
APP100181,28,2349450,929322,240,649,14,Mortgage,Business,Approved
APP100182,45,1984327,760496,36,363,34,Own,Personal,Rejected
APP100183,55,2700764,278201,120,778,25,Own,Medical,Approved
APP100184,45,2384602,1989905,360,467,30,Rent,Auto,Approved
APP100185,42,2027188,94096,240,663,29,Mortgage,Education,Rejected
APP100186,29,2616588,1133448,120,714,31,Mortgage,Medical,Approved
APP100187,39,548349,79112,36,319,38,Mortgage,Home,Approved
APP100188,32,2491123,1394291,84,776,34,Mortgage,Personal,Rejected
APP100189,35,1027094,1806654,180,834,16,Own,Medical,Rejected
APP100190,54,2252575,1304751,84,828,22,Own,Home,Rejected
APP100191,51,2757291,1232030,60,376,25,Mortgage,Home,Approved
APP100192,50,1588870,1664452,60,516,34,Rent,Personal,Rejected
APP100193,38,448456,1949757,84,428,15,Rent,Education,Approved
APP100194,68,1236639,1730558,12,548,12,Rent,Medical,Approved
APP100195,25,1339196,501276,360,837,29,Own,Business,Approved
APP100196,37,2822857,1148349,24,720,38,Rent,Business,Rejected
APP100197,26,2839012,1646679,360,724,36,Own,Auto,Approved
APP100198,37,1791704,624384,12,532,5,Own,Auto,Approved
APP100199,68,2861861,1366634,84,816,36,Mortgage,Auto,Pending
APP100200,38,1421614,94460,60,806,31,Own,Home,Pending
APP100201,65,1351368,1760798,84,744,6,Rent,Home,Rejected
APP100202,45,2542218,1248086,60,748,0,Mortgage,Medical,Rejected
APP100203,55,2068711,1499070,240,659,8,Own,Home,Pending
APP100204,43,1662655,1659664,12,352,37,Rent,Business,Rejected
APP100205,34,1478887,476617,360,456,30,Own,Business,Approved
APP100206,58,2175697,928552,120,723,23,Rent,Home,Rejected
APP100207,68,2309689,1724354,180,480,25,Own,Medical,Pending
APP100208,33,1573651,371176,24,394,16,Mortgage,Business,Rejected
APP100209,59,288427,1653805,12,821,36,Rent,Home,Approved
APP100210,33,485142,611760,48,569,6,Mortgage,Home,Pending
APP100211,56,603640,1172240,48,774,12,Own,Personal,Rejected
APP100212,59,1493846,1044478,180,456,8,Mortgage,Business,Approved
APP100213,43,1919756,1388660,240,498,33,Mortgage,Education,Pending
APP100214,57,2450549,1681528,60,489,21,Mortgage,Education,Rejected
APP100215,34,851146,730506,180,505,27,Rent,Home,Rejected
APP100216,24,2402474,384918,12,541,36,Mortgage,Home,Pending
APP100217,25,2064946,874515,180,464,7,Own,Business,Approved
APP100218,42,344639,1243692,12,748,38,Mortgage,Education,Rejected
APP100219,65,1183424,1513362,120,479,5,Mortgage,Auto,Approved
APP100220,27,1047448,1519068,48,543,30,Own,Education,Pending
APP100221,43,2682607,712923,60,774,28,Mortgage,Business,Pending
APP100222,55,2779351,1875292,36,540,33,Own,Auto,Rejected
APP100223,30,2493926,212179,60,305,6,Rent,Education,Rejected
APP100224,56,1678417,277572,240,300,38,Mortgage,Auto,Rejected
APP100225,35,1579945,98302,240,540,31,Own,Business,Approved
APP100226,60,1072161,1856463,48,657,4,Rent,Home,Approved
APP100227,49,2364106,401232,36,819,22,Rent,Medical,Approved
APP100228,47,441589,1222861,84,372,32,Mortgage,Business,Rejected
APP100229,29,959186,1635258,120,598,19,Mortgage,Auto,Rejected
APP100230,43,578586,1545068,24,459,15,Mortgage,Personal,Rejected
APP100231,62,1583927,1900246,180,548,11,Own,Medical,Approved
APP100232,21,1039316,154860,360,543,20,Rent,Home,Rejected
APP100233,58,752949,843794,240,472,39,Own,Auto,Approved
APP100234,45,1253958,1036988,84,310,24,Rent,Home,Pending
APP100235,56,2610481,1407489,48,340,28,Rent,Home,Pending
APP100236,53,1762427,1264127,48,587,31,Rent,Personal,Approved
APP100237,42,2504589,1141901,180,423,31,Own,Auto,Rejected
APP100238,36,2758933,648325,60,480,16,Rent,Education,Approved
APP100239,51,2726019,257625,24,349,30,Rent,Personal,Approved
APP100240,27,1182801,891717,120,327,13,Rent,Business,Rejected
APP100241,49,2656935,556332,24,369,23,Mortgage,Personal,Rejected
APP100242,25,2746252,1130881,360,507,12,Own,Home,Approved
APP100243,52,2886869,1604396,60,390,37,Own,Medical,Approved
APP100244,51,839341,1127468,48,427,29,Own,Home,Approved
APP100245,25,1835966,1186933,12,466,23,Own,Personal,Approved
APP100246,58,2809108,131629,24,460,18,Own,Business,Approved
APP100247,41,2721736,1307065,360,306,20,Mortgage,Education,Approved
APP100248,59,1799396,906989,84,364,31,Mortgage,Medical,Pending
APP100249,23,617869,291209,360,823,10,Rent,Medical,Approved
APP100250,29,1382986,466945,360,668,33,Mortgage,Home,Approved
APP100251,45,2199539,1572450,12,368,11,Rent,Medical,Approved
APP100252,30,1769046,1837555,48,456,5,Rent,Auto,Approved
APP100253,37,1167320,1040060,240,511,29,Own,Personal,Rejected
APP100254,53,1159286,1954330,60,799,28,Own,Personal,Approved
APP100255,28,367299,401075,84,784,13,Mortgage,Business,Approved
APP100256,54,1007948,634311,84,724,25,Mortgage,Medical,Pending
APP100257,26,2074255,1863628,180,358,29,Rent,Personal,Rejected
APP100258,29,875680,391611,360,570,31,Own,Business,Approved
APP100259,49,2981498,1335793,240,566,38,Mortgage,Auto,Approved
APP100260,59,430798,478033,120,651,34,Mortgage,Education,Rejected
APP100261,29,1848566,695796,84,765,17,Own,Medical,Rejected
APP100262,35,1590381,981616,48,476,9,Own,Auto,Pending
APP100263,66,2533251,751976,24,606,3,Own,Medical,Approved
APP100264,69,2685732,1755285,180,445,22,Rent,Auto,Rejected
APP100265,49,1721742,1946938,12,415,26,Own,Business,Approved
APP100266,42,1964425,1025070,120,472,27,Mortgage,Business,Approved
APP100267,37,2157070,1074173,60,705,0,Rent,Auto,Rejected
APP100268,51,1658731,158014,180,541,28,Mortgage,Education,Rejected
APP100269,49,717686,506695,360,675,31,Rent,Home,Approved
APP100270,35,1400060,127776,84,680,28,Rent,Education,Approved
APP100271,22,876347,1720465,84,499,21,Mortgage,Medical,Rejected
APP100272,28,1500324,493412,60,826,0,Own,Home,Approved
APP100273,67,1922432,714236,48,325,19,Own,Medical,Approved
APP100274,41,785976,1693403,12,794,25,Own,Personal,Approved
APP100275,44,898390,1440915,12,304,22,Own,Personal,Approved
APP100276,43,2504220,1261887,180,510,22,Own,Auto,Rejected
APP100277,59,1257649,125020,360,754,20,Mortgage,Medical,Approved
APP100278,24,755472,1147767,12,677,22,Own,Auto,Approved
APP100279,25,2196886,1143740,48,477,12,Rent,Business,Rejected
APP100280,34,2206543,671990,120,787,24,Rent,Home,Approved
APP100281,44,2513247,1502610,180,375,11,Own,Medical,Rejected
APP100282,53,2327958,1862379,180,669,19,Own,Personal,Approved
APP100283,45,2977510,555119,120,585,16,Own,Home,Rejected
APP100284,42,1809633,695797,12,414,28,Rent,Business,Rejected
APP100285,66,1003101,678553,36,807,35,Rent,Auto,Rejected
APP100286,28,2616193,1678141,60,721,25,Rent,Education,Approved
APP100287,49,941483,201652,12,304,5,Mortgage,Business,Rejected
APP100288,47,1014940,1797011,48,347,26,Own,Medical,Rejected
APP100289,44,2519784,1561318,48,330,12,Mortgage,Auto,Approved
APP100290,60,2668528,992503,360,528,1,Own,Home,Approved
